timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
643467536,643467437,0.0,0.0,-0.5227317
643471310,643471211,0.0,0.0,-0.5227317
643473787,643473687,0.0,0.0,-0.5227317
643477535,643477437,0.0,0.0,-0.52273405
643481280,643481188,0.0,0.0,-0.52273405
643485086,643484980,0.0,0.0,-0.52273405
643488786,643488687,0.0,0.0,-0.52261066
643491286,643491188,0.0,0.0,-0.52261066
643495078,643494979,0.0,0.0,-0.52261066
643498777,643498687,0.0,0.0,-0.52110624
643502538,643502438,0.0,0.0,-0.52110624
643506291,643506188,0.0,0.0,-0.52110624
643508786,643508687,0.0,0.0,-0.5211989
643512537,643512437,0.0,0.0,-0.5211989
643516308,643516210,0.0,0.0,-0.5211989
643520080,643519980,0.0,0.0,-0.52128154
643523787,643523687,0.0,0.0,-0.52128154
643526286,643526187,0.0,0.0,-0.52128154
643530080,643529980,0.0,0.0,-0.5201981
643533787,643533687,0.0,0.0,-0.5201981
643537535,643537437,0.0,0.0,-0.5205627
643541289,643541188,0.0,0.0,-0.5205627
643543789,643543687,0.0,0.0,-0.5205627
643547530,643547437,0.0,0.0,-0.5206541
643551280,643551188,0.0,0.0,-0.5206541
643555076,643554978,0.0,0.0,-0.5206541
643558785,643558687,0.0,0.0,-0.52039975
643561311,643561211,0.0,0.0,-0.52039975
643565082,643564982,0.0,0.0,-0.52039975
643568785,643568687,0.0,0.0,-0.52053744
643572537,643572437,0.0,0.0,-0.52053744
643576308,643576210,0.0,0.0,-0.52053744
643578786,643578687,0.0,0.0,-0.5203434
643582536,643582437,0.0,0.0,-0.5203434
643586287,643586188,0.0,0.0,-0.5203434
643590079,643589980,0.0,0.0,-0.5198201
643593788,643593687,0.0,0.0,-0.5198201
643596286,643596188,0.0,0.0,-0.5198201
643600085,643599979,0.0,0.0,-0.520125
643603786,643603687,0.0,0.0,-0.520125
643607537,643607437,0.0,0.0,-0.5198908
643611288,643611188,0.0,0.0,-0.5198908
643613786,643613687,0.0,0.0,-0.5198908
643617536,643617437,0.0,0.0,-0.5203367
643621310,643621211,0.0,0.0,-0.5203367
643625079,643624980,0.0,0.0,-0.5203367
643628786,643628687,0.0,0.0,-0.51990724
643631282,643631188,0.0,0.0,-0.51990724
643635079,643634980,0.0,0.0,-0.51990724
643638786,643638687,0.0,0.0,-0.5197755
643642535,643642437,0.0,0.0,-0.5197755
