timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
641405903,641404756,4395041,-0.5999374,-0.07455763,-0.4164153,3
641505904,641479756,4395041,-0.6287526,-0.07161592,-0.5134508,3
641555898,641554756,4395041,-0.6793973,-0.06190064,-0.49286172,3
641655919,641629765,4395041,-0.61421883,-0.08723996,-0.44915122,3
641705903,641704756,4395041,-0.64300805,-0.09646405,-0.42704067,3
641805903,641779758,4395041,-0.62166715,-0.06688896,-0.4114645,3
641855897,641854756,4395041,-0.63216865,-0.10044867,-0.41078493,3
641955899,641929756,4395041,-0.6055447,-0.055864073,-0.40803593,3
642005925,642004775,4395041,-0.61802876,-0.074542455,-0.3950011,3
642105903,642079756,4395041,-0.5855892,-0.06732184,-0.40453508,3
642155899,642154756,4395041,-0.61066574,-0.08577035,-0.4033838,3
642255900,642229756,4395041,-0.5711831,-0.063743144,-0.4029882,3
642305903,642304756,4395041,-0.581871,-0.07877862,-0.37942225,3
642405903,642379765,4395041,-0.5619638,-0.08649651,-0.37601244,3
642455898,642454756,4395041,-0.6323921,-0.065719336,-0.54467535,3
642555899,642529756,4395041,-0.70597696,-0.10414943,-0.55397975,3
642605903,642604756,4395041,-0.6575884,-0.06887302,-0.5854398,3
642705925,642679765,4395041,-0.5889714,-0.087694556,-0.4250487,3
642755899,642754756,4395041,-0.5996974,-0.10514669,-0.33259454,3
642855899,642829756,4395041,-0.54041445,-0.07562412,-0.3601409,3
642905903,642904756,4395041,-0.5389125,-0.053859886,-0.2769873,3
643005904,642979756,4395041,-0.5044711,-0.07731632,-0.19459781,3
643055917,643054774,4395041,-0.45940676,-0.0699949,-0.23398705,3
643155899,643129756,4395041,-0.5818703,-0.07672593,-0.40239537,3
643205903,643204756,4395041,-0.6393848,-0.0958763,-0.50680846,3
643305905,643279756,4395041,-0.60729396,-0.0591738,-0.46026558,3
643355899,643354756,4395041,-0.61074895,-0.078256264,-0.40769532,3
643455899,643429765,4395041,-0.60714364,-0.078276835,-0.40995255,3
643505903,643504756,4395041,-0.63198644,-0.119186796,-0.40643853,3
643605904,643579756,4395041,-0.5818386,-0.082339555,-0.40247858,3
643655898,643654756,4395041,-0.5960497,-0.10459001,-0.40799457,3
643755920,643729765,4395041,-0.587097,-0.0953591,-0.40410656,3
643805910,643804762,4395041,-0.614208,-0.093282044,-0.39483118,3
643905903,643879756,4395041,-0.5765311,-0.07118739,-0.40066263,3
643955899,643954756,4395041,-0.552998,-0.079005934,-0.3889153,3
644055900,644029756,4395041,-0.59251523,-0.101021096,-0.3915958,3
644105924,644104774,4395041,-0.55304307,-0.0752328,-0.39319,3
644205904,644179756,4395041,-0.57808787,-0.09553416,-0.39404342,3
644255898,644254756,4395041,-0.6103702,-0.11957563,-0.38650718,3
644355899,644329756,4395041,-0.5944731,-0.0803394,-0.40192223,3
644405903,644404756,4395041,-0.59604275,-0.10452373,-0.41634458,3
644505909,644479765,4395041,-0.5871123,-0.09334046,-0.42297658,3
644555899,644554756,4395041,-0.61763555,-0.11198359,-0.39034978,3
644655899,644629756,4395041,-0.58523357,-0.104766876,-0.40008378,3
644705904,644704756,4395041,-0.5747203,-0.07120513,-0.4006972,3
644805925,644779765,4395041,-0.59614575,-0.0933322,-0.4122009,3
644855899,644854756,4395041,-0.57110035,-0.07501782,-0.39675644,3
644955900,644929756,4395041,-0.5998291,-0.087800875,-0.3975436,3
645005903,645004756,4395041,-0.5889365,-0.09350485,-0.3999507,3
645105903,645079756,4395041,-0.60889804,-0.08391977,-0.40357006,3
645155922,645154773,4395041,-0.58188087,-0.07864821,-0.3962505,3
645255899,645229756,4395041,-0.6014792,-0.1046188,-0.3973881,3
645305903,645304756,4395041,-0.62124413,-0.111816205,-0.40698063,3
645405903,645379756,4395041,-0.6140146,-0.113842726,-0.396796,3
645455899,645454756,4395041,-0.6504099,-0.08162714,-0.401933,3
645555899,645529766,4395041,-0.5999752,-0.07281989,-0.39976844,3
645605903,645604756,4395041,-0.62881184,-0.078205995,-0.39032018,3
645705904,645679756,4395041,-0.6235248,-0.0670716,-0.38651618,3
645755899,645754756,4395041,-0.6181148,-0.0633175,-0.3949714,3
645855918,645829765,4395041,-0.61281556,-0.060261704,-0.31594205,3
645905904,645904756,4395041,-0.35559946,-0.36864296,0.02802267,3
646005903,645979756,4395041,-0.23249008,-0.08740062,0.48202148,3
646055898,646054756,4395041,-0.40363297,0.08240349,0.28432542,3
646155899,646129756,4395041,-0.40269417,0.17650853,0.20824791,3
646205924,646204774,4395041,-0.4489246,0.30154777,0.06685049,3
646305904,646279756,4395041,-0.5201585,0.41709483,-0.25929594,3
646355900,646354756,4395041,-0.5544218,0.8133997,-0.6605661,3
646455899,646429756,4395041,-0.7628088,0.4087615,-1.2456976,3
646505903,646504756,4395041,-1.2044955,0.25521368,-2.0542665,3
646605903,646579765,4395041,-1.0957714,0.19506243,-1.9225209,3
646655899,646654756,4395041,-1.0872802,0.05321497,-1.735289,3
