timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
649889077,0.19711913,0.15880534,-0.00041712917,0.0
649910325,0.19711913,0.1601629,-0.00041712917,0.0
649931575,0.19711913,0.16163884,-0.00041712917,0.0
649949076,0.19711913,0.16296756,-0.00041712917,0.0
649970325,0.19711913,0.1646458,-0.00041712917,0.0
649991577,0.19711913,0.16626857,-0.00041712917,0.0
650011577,0.19711913,0.16764289,-0.00041712917,0.0
650029079,0.19711913,0.16868441,-0.00016183348,0.0
650050326,0.19711913,0.16972807,9.2560236e-05,0.0
650071576,0.19711913,0.17056619,0.00011660221,0.0
650089075,0.19711913,0.17114626,0.00011203821,0.0
650110326,0.19711913,0.17180096,0.00011203821,0.0
650131576,0.19711913,0.17245293,0.00011203821,0.0
650151576,0.19711913,0.17308214,0.00011203821,0.0
650169081,0.19711913,0.17363198,0.00011203821,0.0
650190327,0.19711913,0.17426643,0.00011203821,0.0
650211576,0.19711913,0.1748571,0.00011203821,0.0
650229085,0.19711913,0.17530741,0.00011203821,0.0
650250327,0.19711913,0.1757812,0.00029024278,0.0
650271576,0.19711913,0.17616743,0.00061388273,0.0
650291576,0.19711913,0.17641659,0.0005735366,0.0
650309086,0.19711913,0.1765243,0.0003700165,0.0
650330326,0.19711913,0.17649952,9.113364e-05,0.0
650351576,0.19711913,0.17631099,-2.8380413e-05,0.0
650369087,0.19711913,0.17606322,-2.8380413e-05,0.0
650390327,0.19711913,0.17569466,-2.8380413e-05,0.0
650411576,0.19711913,0.17533603,-2.8380413e-05,0.0
650431576,0.19711913,0.17506681,-2.8380413e-05,0.0
650449077,0.19711913,0.17489067,-2.8380413e-05,0.0
650470325,0.19711913,0.17470622,-2.8380413e-05,0.0
650491570,0.19711913,0.17445987,0.00034213281,0.0
650509076,0.19711913,0.17414993,0.00036521972,0.0
650530330,0.19711913,0.17357332,6.683184e-05,0.0
650551577,0.19711913,0.17278144,-0.0004400537,0.0
650571575,0.2005859,0.17186935,-0.00093530514,0.0
650589075,0.20491962,0.17099407,-0.0012543111,0.0
650610323,0.20491962,0.16992152,-0.0013816622,0.0
650631575,0.20491962,0.1688905,-0.0013816622,0.0
650649077,0.20491962,0.16808592,-0.0013816622,0.0
650670327,0.20491962,0.16712834,-0.0013816622,0.0
650691577,0.20491962,0.16614324,-0.0013816622,0.0
650711576,0.20665395,0.16514827,-0.0012389123,0.0
650729079,0.2105413,0.16419753,-0.0011645036,0.0
650750325,0.21444519,0.16292916,-0.0013981275,0.0
650771577,0.22051944,0.161537,-0.0019425694,0.0
650789078,0.22659259,0.1603083,-0.002534452,0.0
650810325,0.23396397,0.15872094,-0.0032841682,0.0
650831576,0.24133274,0.1570491,-0.0039046686,0.0
650851575,0.24393308,0.15540813,-0.0042620497,0.0
650869079,0.246102,0.15392941,-0.0043643485,0.0
650890327,0.246102,0.15210362,-0.004364787,0.0
