timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
641371696,0.2459742,2.8091903,nan,0.0,0.0,-0.024407977,0.0,0.0,0.62492263,nan,nan,-8.0,1.5554209,1e-45
641551836,0.2459742,2.8091903,-1.1849797,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
641751795,0.2459742,2.8091903,-1.1849797,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
641951792,0.2459742,2.8091903,-1.1849797,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
642171683,0.2459742,2.8091903,-1.1849797,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
642371682,0.2459742,2.8091903,nan,0.0,0.0,-0.069034055,0.0,0.0,-0.18148975,nan,nan,-8.0,1.5554209,1e-45
642571689,0.2459742,2.8091903,nan,0.0,0.0,-0.1778528,0.0,0.0,-0.46604705,nan,nan,8.0,1.5554209,1e-45
642771652,0.2459742,2.8091903,nan,0.0,0.0,-0.22552598,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
642951816,0.2459742,2.8091903,nan,0.0,0.0,-0.1261255,0.0,0.0,1.1354157,nan,nan,-8.0,1.5554209,1e-45
643151818,0.2459742,2.8091903,-1.180061,0.0,0.0,-3.330669e-15,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
643351806,0.2459742,2.8091903,-1.180061,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
643571668,0.2459742,2.8091903,-1.180061,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
643771693,0.2459742,2.8091903,-1.180061,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
643971661,0.2459742,2.8091903,-1.180061,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.5554209,1e-45
644171673,nan,nan,-1.180061,-0.00021268569,-0.0061412314,0.0,0.0041803904,-0.01485458,0.0,nan,nan,0.0,1.5554209,1e-45
644351796,nan,nan,-1.180061,-0.0003946554,-0.02541487,0.0,-0.0030358394,-0.20049295,0.0,nan,nan,0.0,1.5554209,1e-45
644551818,nan,nan,-1.180061,-0.0010312634,-0.06700672,0.0,-0.004269374,-0.27799007,0.0,nan,nan,0.0,1.5554209,1e-45
644751792,nan,nan,-1.180061,-0.0021527365,-0.13997214,0.0,-0.005589775,-0.36360484,0.0,nan,nan,0.0,1.5554209,1e-45
644971712,nan,nan,-1.180061,-0.0036635145,-0.23823409,0.0,-0.008317398,-0.540941,0.0,nan,nan,0.0,1.5554209,1e-45
645171662,nan,nan,-1.180061,-0.0055444464,-0.36056226,0.0,-0.009557824,-0.6215961,0.0,nan,nan,0.0,1.5554209,1e-45
645371666,nan,nan,-1.180061,-0.0073892735,-0.48054063,0.0,-0.00895807,-0.58258617,0.0,nan,nan,0.0,1.5554209,1e-45
645571689,nan,nan,-1.180061,-0.009118314,-0.59298813,0.0,-0.008386863,-0.5454357,0.0,nan,nan,0.0,1.5554209,1e-45
645751857,nan,nan,-1.180061,-0.010578352,-0.6879407,0.0,-0.007877623,-0.51231635,0.0,nan,nan,0.0,1.5554209,1e-45
645951794,nan,nan,-1.180061,-0.011300383,-0.7897178,0.0,0.021450084,-0.5030729,0.0,nan,nan,0.0,1.5827438,1e-45
646141871,nan,nan,-1.180061,0.021347689,-0.877063,0.0,0.30569017,-0.3964609,0.0,nan,nan,0.0,1.8772436,1e-45
646371664,nan,nan,-1.180061,0.04198576,-0.8018023,0.0,-0.036354627,0.69426453,0.0,nan,nan,0.0,1.9417053,1e-45
646571647,nan,nan,-1.180061,0.033925742,-0.6478801,0.0,-0.042996887,0.8211117,0.0,nan,nan,0.0,1.8506811,1e-45
646771686,nan,nan,-1.180061,0.02492376,-0.47596923,0.0,-0.04555365,0.8699383,0.0,nan,nan,0.0,1.855304,1e-45
646971658,nan,nan,-1.180061,0.016212841,-0.30961674,0.0,-0.04128626,0.78844386,0.0,nan,nan,0.0,1.8453501,1e-45
647151758,nan,nan,nan,0.00944482,-0.18036778,-1.1979305,-0.034200136,0.6531203,0.96076,nan,nan,8.0,1.8557891,1e-45
647351797,nan,nan,nan,0.003746625,-0.07154933,-0.84567845,-0.023404893,0.44696343,2.561072,nan,nan,8.0,1.8585194,1e-45
647551828,nan,nan,nan,0.00050101324,-0.009567855,-0.2846098,-0.009975806,0.19050807,2.345996,nan,nan,-8.0,1.8597146,1e-45
647771653,-0.9587816,2.8899858,nan,0.0,0.0,0.03780658,0.0,0.0,0.5873958,nan,nan,-8.0,1.861101,1e-45
647971686,-0.9587816,2.8899858,nan,0.0,0.0,-0.08638085,0.0,0.0,0.58765984,nan,nan,8.0,1.8594072,1e-45
648171661,-0.9587816,2.8899858,2.2524972,0.0,0.0,-8.271806e-25,0.0,0.0,0.0,nan,nan,0.0,1.857247,1e-45
648371670,-0.9587816,2.8899858,2.2524972,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.855699,1e-45
648551781,-0.9587816,2.8899858,2.2524972,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.8549832,1e-45
648751805,-0.9587816,2.8899858,2.2524972,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.8553228,1e-45
648951762,-0.9587816,2.8899858,2.2524972,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.3988593,1e-45
649171684,-0.9587816,2.8899858,2.2524972,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.3988593,1e-45
649371665,-0.9587816,2.8899858,2.2524972,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.3988593,1e-45
649571657,-0.9587816,2.8899858,2.2524972,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.3988593,1e-45
649763170,nan,nan,-0.19926162,0.0010059243,0.009084148,0.0,-0.024065481,-0.2173269,0.0,nan,nan,0.0,1.4327459,1e-45
649963166,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4350475,1e-45
650163191,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4371343,1e-45
650363264,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4390813,1e-45
650563170,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4405421,1e-45
