timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
638171416,3407898,3407898,3407890,3407882,0,0.050819818,0.07154824,0.053843364,0.0,3407898,3407898,3407890,3407882,0,0.0017349282,0.0009918907,0.0007938149,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
638371434,3407898,3407898,3407890,3407882,0,0.03526724,0.012370004,0.03360862,0.0,3407898,3407898,3407890,3407882,0,0.0010099591,0.0005334995,0.0009154614,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
638571412,3407898,3407898,3407890,3407882,0,0.038612645,0.03592181,0.04261321,0.0,3407898,3407898,3407890,3407882,0,0.0008557677,0.0002897587,0.0007086056,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
638766402,3407898,3407898,3407890,3407882,0,0.03781472,0.071505606,0.03715194,0.0,3407898,3407898,3407890,3407882,0,0.0008555937,0.00038685126,0.00080969796,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
638966398,3407898,3407898,3407890,3407882,0,0.06716838,0.032969173,0.062832005,0.0,3407898,3407898,3407890,3407882,0,0.00022998474,0.00027322568,0.00044157912,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
639166438,3407898,3407898,3407890,3407882,0,0.044659626,0.0378455,0.029360186,0.0,3407898,3407898,3407890,3407882,0,0.0017349462,0.0003630843,0.0014426733,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
639371411,3407898,3407898,3407890,3407882,0,0.06991368,0.10244247,0.052249335,0.0,3407898,3407898,3407890,3407882,0,0.0014718487,0.00021345152,0.001536081,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
639571436,3407898,3407898,3407890,3407882,0,0.10408265,0.11138764,0.061988905,0.0,3407898,3407898,3407890,3407882,0,0.0015138403,0.001075138,0.0004395856,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
639771418,3407898,3407898,3407890,3407882,0,0.049290985,0.06794154,0.058790058,0.0,3407898,3407898,3407890,3407882,0,0.001262306,0.001160462,0.0005931437,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
639971413,3407898,3407898,3407890,3407882,0,0.04824141,0.10745122,0.12519352,0.0,3407898,3407898,3407890,3407882,0,0.0015090548,0.0017079593,0.00025330856,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
