timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
636719247,636718199,0.0,-0.0,0.0,0.42727277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636740883,636739869,0.0,-0.0,0.0,0.43181825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636763026,636761848,0.0,-0.0,0.0,0.43409097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636784892,636783850,0.0,-0.0,0.0,0.43863642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636806657,636805621,0.0,-0.0,0.0,0.44318187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636828503,636827283,0.0,-0.0,0.0,0.44772732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636850202,636849146,0.0,-0.0,0.0,0.45227277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636872164,636870945,0.0,-0.0,0.0,0.4545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
636894001,636893017,0.0,-0.0,0.0,0.45681822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637023947,637022777,0.0,-0.0,0.0,0.4545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637067200,637066235,0.0,-0.0,0.0,0.45227277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637132144,637131051,0.0,-0.0,0.0,0.4545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637154309,637153150,0.0,-0.0,0.0,0.45227277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637306574,637305466,0.0,-0.0,0.0,0.4545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637349847,637348845,0.0,-0.0,0.0,0.45681822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637393518,637392409,0.0,-0.0,0.0,0.45909095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637415172,637414146,0.0,-0.0,0.0,0.46363643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637436873,637435810,0.0,-0.0,0.0,0.46590915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637524023,637523016,0.0,-0.0,0.0,0.46818188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637724036,637523016,0.0,-0.0,0.0,0.46818188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637792171,637791201,0.0,-0.0,0.0,0.46590915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637814011,637813014,0.0,-0.0,0.0,0.46363643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637857223,637856243,0.0,-0.0,0.0,0.46590915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
637878881,637877913,0.0,-0.0,0.0,0.46818188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638078893,637877913,0.0,-0.0,0.0,0.46818188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638183057,638181842,0.0,-0.0,0.0,0.46818188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638313572,638312601,0.0,-0.0,0.0,0.46590915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638356929,638355810,0.0,-0.0,0.0,0.46363643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638378565,638377599,0.0,-0.0,0.0,0.45909095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638400202,638399219,0.0,-0.0,0.0,0.4545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638422104,638420859,0.0,-0.0,0.0,0.45000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638443894,638442748,0.0,-0.0,0.0,0.44772732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638465563,638464511,0.0,-0.0,0.0,0.43409097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
638487166,638486182,0.0,-0.0,0.0,0.42272732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
