timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
645605882,645604756,4395041,-0.67029417,-0.08564871,-0.45373282,nan,0
645705883,645704756,4395041,-0.68147933,-0.07820254,-0.44562125,nan,0
645805883,645804756,4395041,-0.66283333,-0.07075187,-0.43323237,nan,0
645905883,645904756,4395041,-0.39099714,-0.36865446,-0.03678388,nan,0
646005882,646004756,4395041,-0.29046658,-0.037239306,0.3229732,nan,0
646105882,646104756,4395041,-0.4245197,0.122887276,0.15533195,nan,0
646205900,646204774,4395041,-0.48037753,0.29790854,0.0040876833,nan,0
646305883,646304756,4395041,-0.5362247,0.39472094,-0.24931297,nan,0
646405883,646404756,4395041,-0.80436903,0.4133563,-1.0179789,nan,0
646505882,646504756,4395041,-1.2623874,0.22715525,-2.1010692,nan,0
646605883,646604756,4395041,-1.1209031,0.11171792,-2.0523107,nan,0
646705883,646704756,4395041,-1.3294168,-0.037238568,-2.0601923,nan,0
646805883,646804756,4395041,-1.0389767,0.018619653,-1.6680136,nan,0
646905901,646904774,4395041,-0.7596818,0.11544185,-1.6761901,nan,0
647005883,647004756,4395041,-0.80436903,0.14150937,-1.5085711,nan,0
647105883,647104757,4395041,-0.79690534,0.13033499,-1.5696703,nan,0
647205883,647204756,4395041,-0.7373089,0.08192322,-1.5817068,nan,0
647305883,647304756,4395041,-0.7596516,0.05585674,-1.4795294,nan,0
647405883,647404756,4395041,-0.77828604,0.063305564,-1.5328813,nan,0
647505883,647504756,4395041,-0.7298904,0.06703075,-1.4840415,nan,0
647605902,647604775,4395041,-0.7298759,0.07075328,-1.4756536,nan,0
647705882,647704756,4395041,-0.7634362,0.067033425,-1.5253613,nan,0
647805883,647804757,4395041,-0.7299195,0.067033425,-1.5090035,nan,0
647905883,647904756,4395041,-0.7745622,0.067029424,-1.5410566,nan,0
648005882,648004756,4395041,-0.29791445,0.044687167,-0.44970953,nan,0
648105883,648104756,4395041,-0.2792948,0.014895722,-0.47832742,nan,0
648205883,648204756,4395041,-0.2643938,0.052133992,-0.47825894,nan,0
648305900,648304774,4395041,-0.2532273,0.044687167,-0.48241568,nan,0
648405883,648404757,4395041,-0.26067513,0.048411097,-0.47423914,nan,0
648505883,648504756,4395041,-0.25695637,0.04096406,-0.47430712,nan,0
