timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
637763049,637572729,1077891,0.00044617697,0.010792307,0.015263966,0,0.059734687,0.03754181,0.002333253,nan,0.033428658,0.062653616,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
637962990,637772729,1077891,0.00039246588,0.009841019,0.014196742,0,0.059713222,0.03754159,0.0014667623,nan,0.022803545,0.070499316,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
638162991,637972773,1077891,0.00033865398,0.008399992,0.012174456,0,0.059700146,0.037542906,0.0026908917,nan,0.023011258,0.06457023,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
638362987,638172730,1077891,0.00035891088,0.0082318,0.011553769,0,0.05969714,0.03754193,0.001291695,nan,0.02610165,0.07163618,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
638562992,638372730,1077891,0.00048081053,0.009728297,0.012780472,0,0.059699908,0.037542358,0.0055005457,nan,0.0469718,0.08064655,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
638762990,638572730,1077891,0.00057609327,0.009360263,0.012145294,0,0.059697043,0.037542764,0.0049888087,nan,0.04220598,0.063299276,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
638962989,638772730,1077891,0.00045930065,0.005862611,0.0081046745,0,0.05963874,0.03754346,0.003987192,nan,0.011213855,0.04655741,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
639163025,638972730,1077891,0.00016487912,0.0054416507,0.006269419,0,0.059522703,0.03754419,0.0034491278,nan,0.025006853,0.05020872,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
639362991,639172730,1077891,0.0004102691,0.013131289,0.015072478,0,0.059423238,0.037544794,0.0024857116,nan,0.06341367,0.06410747,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
639562993,639372773,1077891,0.0007550917,0.019145546,0.022928525,0,0.05940861,0.037546784,0.005078765,nan,0.076220594,0.044493545,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
639762992,639572730,1077891,0.00088412885,0.021061733,0.026316168,0,0.05944296,0.037546314,0.0053083594,nan,0.068246,0.03637647,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
639963018,639772730,1077891,0.00076541817,0.01801959,0.024044096,0,0.059493285,0.037544835,0.004681753,nan,0.041321617,0.034791097,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
640163015,639972730,1077891,0.00047852084,0.012129454,0.018124381,0,0.059541583,0.03754532,0.004069761,nan,0.015944768,0.028037688,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
640362992,640172729,1077891,0.00022805114,0.008072528,0.013515615,0,0.059578385,0.037545815,0.0031205304,nan,0.008777679,0.03014552,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
640563040,640372730,1077891,0.000115766816,0.0064930804,0.01169581,0,0.059596695,0.03754625,0.0048236554,nan,0.0042118067,0.03569466,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
640762991,640572730,1077891,0.000104545485,0.0057092328,0.010127937,0,0.059680536,0.037546534,0.0038496875,nan,0.015266423,0.040026195,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
640962989,640772773,1077891,0.0003808585,0.010923059,0.014010548,0,0.059802953,0.03754813,0.0029068284,nan,0.057701867,0.0371149,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
641162996,640972730,1077891,0.00029873435,0.006744343,0.010653253,0,0.072562635,0.0435827,0.0029068284,nan,0.057701867,0.033310153,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
641362991,641172730,1077891,0.00095225783,0.024947489,0.030066647,0,0.06698813,0.041473925,0.0014293669,nan,0.1013837,0.026253883,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
641562988,641372729,1077891,0.0011792965,0.022384439,0.030008784,0,0.06386249,0.04012329,5.092475e-05,nan,0.051930767,0.01663265,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
641762990,641572729,1077891,0.00070323056,0.012159462,0.018902471,0,0.061874595,0.039176702,0.0006312057,nan,0.009751865,0.028566722,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
641963021,641772730,1077891,0.00018332888,0.005303451,0.009843258,0,0.060686663,0.038528275,0.0021022318,nan,0.01401007,0.031704187,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
642162989,641972730,1077891,0.0002285707,0.006579681,0.008148714,0,0.060017556,0.03810005,0.0007618427,nan,0.028177047,0.031991236,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
642362988,642172773,1077891,0.0003472329,0.009561844,0.011993708,0,0.059683654,0.037832975,0.0031438621,nan,0.02852882,0.032080326,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
642563014,642372730,1077891,0.00040128626,0.011946133,0.015670983,0,0.059547167,0.037673343,0.0026917588,nan,0.032587226,0.035304952,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
642763025,642572729,1077891,0.0004353158,0.013272756,0.018053366,0,0.059536885,0.037591603,0.0033955814,nan,0.034105677,0.050082326,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
642962988,642772729,1077891,0.00036599062,0.0110544795,0.01622986,0,0.059619475,0.037556157,0.0065287207,nan,0.015072954,0.042360395,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
643162989,642972730,1077891,0.00021051675,0.007532025,0.012402016,0,0.05969139,0.03754718,0.004590123,nan,0.014882676,0.037448347,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
643363037,643172730,1077891,0.00014458467,0.006303289,0.010391572,0,0.05968415,0.03755092,0.003396584,nan,0.013224187,0.041244753,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
643562991,643372729,1077891,0.00012534697,0.0050841197,0.008032812,0,0.059667494,0.037558727,0.0065833894,nan,0.011602131,0.026385684,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
643762995,643572773,1077891,0.00013604423,0.004171202,0.0061301035,0,0.05966659,0.037567716,0.0040063644,nan,0.005457655,0.0240595,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
643962990,643772730,1077891,0.00012118254,0.003054208,0.0042494033,0,0.059660424,0.037571874,0.005529596,nan,0.011280043,0.020470204,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
644162991,643972730,1077891,0.00019476913,0.00439991,0.0052067568,0,0.059653945,0.037574332,0.00865982,nan,0.01874778,0.020300854,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
644362991,644172730,1077891,0.0002829748,0.005764212,0.006998117,0,0.059645772,0.03757403,0.008148832,nan,0.021232625,0.015999848,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
644562990,644372730,1077891,0.0003508658,0.0067291656,0.008142668,0,0.059634693,0.03757212,0.008145639,nan,0.01911869,0.018999867,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
644763028,644572729,1077891,0.00027886746,0.004911325,0.006822379,0,0.059627946,0.037569065,0.006330167,nan,0.00757096,0.01344958,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
644963020,644772730,1077891,0.00017587499,0.003862757,0.0061562625,0,0.05962546,0.03756331,0.0034214337,nan,0.00924762,0.017793413,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
645163016,644972773,1077891,0.00013504387,0.004358647,0.0072915857,0,0.059630714,0.03756121,0.0050631375,nan,0.0058512893,0.020405557,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
645362997,645172730,1077891,0.000119908735,0.005317031,0.008983382,0,0.059633728,0.037557278,0.005385312,nan,0.009595757,0.030828623,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
645562990,645372730,1077891,0.00015174701,0.007954216,0.012784123,0,0.05964706,0.03755539,0.0046774447,nan,0.016192483,0.03843902,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
645762990,645572730,1077891,0.00021557418,0.011502155,0.018110324,0,0.059670832,0.037554357,0.0031778065,nan,0.016187718,0.058651663,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
645962993,645772730,1077891,0.00019438565,0.015050825,0.023983529,0,0.059699096,0.03755439,0.0067206295,nan,0.006583652,0.07434204,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
646163031,645972730,1077891,0.0011292621,0.016117457,0.025069099,0,0.058914796,0.03726042,0.097039446,nan,0.07124238,0.07220221,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
646362990,646172730,1077891,0.0042300047,0.021147331,0.047342632,0,0.058755547,0.037320487,0.28015557,nan,0.19359352,0.14463346,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
646562990,646372773,1077891,0.008182595,0.078515805,0.12934133,0,0.059908036,0.03745911,0.12420651,nan,0.4262701,0.45322827,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
646762989,646572730,1077891,0.010584655,0.10571546,0.13009797,0,0.061645884,0.043703828,0.19484188,nan,0.40270028,0.7020415,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
646962992,646772730,29315,0.008861965,0.13339677,0.13845363,0,0.06269313,0.050770305,0.26757908,nan,0.38291115,0.98732615,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
647162992,646972730,29315,0.007168198,0.12712218,0.13367768,0,0.0632309,0.058452733,3.6777864,nan,0.2800091,1.138337,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,64,831,3,1,6,3,1,0,0,0,0,0,0,0
647362990,647172730,29315,0.006144069,0.07481101,0.09144573,0,0.06329725,0.06666349,0.26847157,nan,0.08019993,1.2914684,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
647563055,647372730,29315,0.0038805406,0.008554754,0.021700563,0,0.063092105,0.07534939,0.26709569,nan,0.14373817,1.4031622,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
647763020,647572730,29315,0.0027398313,0.0722014,0.06590734,0,0.062773965,0.08453435,0.28228915,nan,0.26080778,1.4174862,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
