timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
650356709,650166188,3407898,-0.0008701266,-3.1835705e-05,-0.00044919876,0.15,2.0250526e-07,2.1474206e-07,4.5365505e-07,3407898,-0.014670934,-0.07971869,-0.022791378,0.4,0.0006713383,0.00033573643,1.13618735e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
651366434,651176188,3407898,-0.000933482,-4.142288e-06,-0.0006230531,0.15,2.0642958e-07,2.2395746e-07,4.495521e-07,3407898,-0.014190127,-0.080494344,-0.022944657,0.4,0.0006710444,0.00032082663,1.1442854e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
651726461,651536188,3407898,-0.0009635982,-3.1525917e-06,-0.00063929753,0.15,2.0773396e-07,2.2691916e-07,4.4795397e-07,3407898,-0.014058501,-0.08157034,-0.023017557,0.4,0.00067104836,0.00031862428,1.14721115e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
651986450,651796211,3407898,-0.0009826224,-8.500265e-06,-0.00064043916,0.15,2.0784955e-07,2.2867198e-07,4.4502258e-07,3407898,-0.013984035,-0.08258384,-0.023070766,0.4,0.00067105866,0.0003171018,1.1492963e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
652246503,652056187,3407898,-0.0009828496,-2.052278e-05,-0.0006246096,0.15,2.0864894e-07,2.3059108e-07,4.440318e-07,3407898,-0.0139138065,-0.08389419,-0.023125043,0.4,0.00067107414,0.0003157424,1.1513532e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
652436454,652246211,3407898,-0.0009672371,-4.188057e-05,-0.0005898408,0.15,2.086779e-07,2.3172214e-07,4.4246983e-07,3407898,-0.01385406,-0.084965505,-0.023165958,0.4,0.00067108514,0.0003146097,1.1528179e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
652636501,652446187,3407898,-0.0009321289,-7.480049e-05,-0.0005389505,0.15,2.0871988e-07,2.3286647e-07,4.408938e-07,3407898,-0.013769152,-0.08609568,-0.023209233,0.4,0.0006710958,0.00031337573,1.1543421e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
652826460,652636213,3407898,-0.00086555775,-0.00011249172,-0.00048843725,0.15,2.085825e-07,2.3383208e-07,4.3913212e-07,3407898,-0.013640853,-0.08716487,-0.023252448,0.4,0.0006711039,0.00031200622,1.155745e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
653016455,652826188,3407898,-0.0007743152,-0.00015183612,-0.00044157886,0.15,2.0836991e-07,2.3472379e-07,4.3730873e-07,3407898,-0.013451695,-0.08818453,-0.023303645,0.4,0.0006711099,0.0003104803,1.1571132e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
653346462,653156188,3407898,-0.0005314369,-0.00022182224,-0.0003739272,0.15,2.0834416e-07,2.363922e-07,4.349673e-07,3407898,-0.012907549,-0.089354716,-0.023405802,0.4,0.00067111297,0.00030753383,1.1594315e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
653456666,653266213,3407898,-0.0002607961,-0.00026342671,-0.00034924832,0.15,2.0713715e-07,2.3634131e-07,4.3231842e-07,3407898,-0.01182628,-0.0876545,-0.023487272,0.4,0.0006708283,0.00030676732,1.16024985e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
653556672,653366188,3407898,-9.861286e-05,-0.00028607764,-0.0003363842,0.15,2.0682141e-07,2.3675639e-07,4.3145954e-07,3407898,-0.01068138,-0.08648261,-0.023605922,0.4,0.000670177,0.0003052438,1.1607887e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
653736460,653546187,3407898,-0.00010879383,-0.0002857876,-0.0003396423,0.15,2.0847621e-07,2.3855628e-07,4.3324462e-07,3407898,-0.010581989,-0.087726034,-0.023664385,0.4,0.0006701792,0.00030309337,1.1619299e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
