timestamp,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],x,y,z,nav_state,output[0],output[1],output[2],output[3]
650117774,0.63131857,6.34161,7.835322,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650122729,0.6183917,6.380896,7.895346,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650127729,0.60416937,6.3816376,7.9525695,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650132730,0.60292464,6.3599415,8.02418,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650137729,0.53989786,6.3872857,8.055327,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650142729,0.48923618,6.4087057,8.086263,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650147730,0.42599204,6.446419,8.063888,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650152774,0.35578954,6.4469223,8.03532,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650157730,0.31632274,6.393904,8.013758,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650162729,0.28344706,6.305908,7.988083,-0.8002937,2.6858742,-0.2191961,2,1000.0,1000.0,1000.0,1000.0
650167730,0.24852616,6.1879215,7.9212685,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650172730,0.19395338,6.107309,7.8659544,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650177730,0.13929647,6.073905,7.789593,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650182729,0.07556363,6.046308,7.7148476,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650187774,0.03119099,5.951244,7.6304197,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650192729,0.0020911987,5.8803067,7.5893946,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650197730,-0.018114705,5.7658076,7.550098,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650202730,-0.015610881,5.6853533,7.5078278,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650207730,-0.04269855,5.649385,7.478416,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
650212730,-0.05663447,5.6305146,7.421911,-0.7917589,2.6611376,-0.22471215,2,1000.0,1000.0,1000.0,1000.0
